iter	Passed	Remaining
402	14148	20959
403	14187	20930
404	14235	20913
405	14281	20894
406	14320	20864
407	14351	20824
408	14384	20785
409	14416	20745
410	14448	20705
411	14479	20665
412	14511	20625
413	14542	20584
414	14573	20543
415	14606	20504
416	14638	20466
417	14672	20429
418	14714	20403
419	14760	20384
420	14808	20366
421	14851	20341
422	14883	20302
423	14923	20273
424	14955	20234
425	14987	20194
426	15019	20155
427	15051	20115
428	15083	20076
429	15115	20037
430	15147	19997
431	15179	19958
432	15211	19918
433	15242	19878
434	15273	19838
435	15308	19802
436	15354	19781
437	15399	19759
438	15446	19739
439	15481	19703
440	15513	19665
441	15546	19626
442	15581	19590
443	15613	19552
444	15646	19514
445	15678	19475
446	15709	19435
447	15742	19396
448	15774	19357
449	15805	19318
450	15841	19283
451	15874	19245
452	15907	19208
453	15938	19168
454	15970	19128
455	16010	19100
456	16056	19078
457	16103	19057
458	16148	19033
459	16179	18993
460	16213	18957
461	16246	18918
462	16277	18879
463	16309	18839
464	16340	18800
465	16372	18761
466	16403	18721
467	16435	18682
468	16467	18644
469	16499	18605
470	16530	18566
471	16561	18526
472	16593	18487
473	16624	18448
474	16656	18409
475	16687	18370
476	16719	18331
477	16756	18298
478	16801	18274
479	16847	18250
480	16892	18227
481	16925	18189
482	16957	18150
483	16989	18112
484	17021	18074
485	17053	18035
486	17084	17996
487	17117	17958
488	17149	17921
489	17181	17882
490	17213	17844
491	17244	17805
492	17276	17766
493	17308	17729
494	17340	17691
495	17372	17652
496	17406	17616
497	17439	17579
498	17470	17540
499	17503	17503
500	17534	17464
501	17567	17427
502	17598	17388
503	17634	17354
504	17666	17316
505	17697	17277
506	17729	17239
507	17761	17202
508	17799	17170
509	17832	17132
510	17863	17094
511	17896	17057
512	17929	17020
513	17960	16981
514	17991	16943
515	18023	16905
516	18055	16867
517	18086	16829
518	18117	16791
519	18152	16756
520	18185	16719
521	18216	16681
522	18248	16643
523	18280	16606
524	18312	16568
525	18348	16534
526	18382	16498
527	18413	16460
528	18445	16422
529	18477	16385
530	18509	16348
531	18543	16312
532	18578	16277
533	18610	16240
534	18641	16202
535	18673	16165
536	18706	16128
537	18737	16090
538	18769	16053
539	18802	16017
540	18835	15980
541	18866	15942
542	18897	15904
543	18929	15867
544	18963	15831
545	18994	15793
546	19038	15766
547	19087	15743
548	19137	15721
549	19185	15697
550	19232	15671
551	19278	15646
552	19326	15622
553	19375	15598
554	19422	15572
555	19473	15550
556	19522	15526
557	19567	15500
558	19613	15473
559	19662	15449
560	19710	15424
561	19757	15398
562	19804	15371
563	19849	15344
564	19895	15318
565	19940	15290
566	19985	15262
567	20035	15238
568	20082	15211
569	20129	15185
570	20175	15157
571	20221	15130
572	20268	15104
573	20313	15076
574	20361	15049
575	20406	15021
576	20451	14992
577	20497	14965
578	20542	14936
579	20587	14908
580	20634	14880
581	20680	14853
582	20726	14824
583	20773	14797
584	20819	14769
585	20866	14742
586	20912	14713
587	20958	14684
588	21005	14657
589	21053	14630
590	21099	14601
591	21146	14574
592	21195	14547
593	21247	14522
594	21294	14494
595	21340	14465
596	21386	14436
597	21435	14409
598	21484	14382
599	21531	14354
600	21577	14325
601	21622	14295
602	21668	14266
603	21716	14238
604	21764	14209
605	21811	14181
606	21857	14151
607	21906	14124
608	21953	14094
609	22000	14065
610	22048	14037
611	22094	14007
612	22143	13979
613	22190	13950
614	22222	13911
615	22253	13872
616	22285	13833
617	22321	13797
618	22353	13758
619	22386	13720
620	22420	13683
621	22452	13644
622	22484	13606
623	22517	13568
624	22549	13529
625	22581	13491
626	22612	13452
627	22644	13413
628	22677	13375
629	22710	13337
630	22741	13298
631	22773	13260
632	22805	13221
633	22837	13183
634	22870	13145
635	22902	13107
636	22934	13069
637	22966	13030
638	22997	12992
639	23027	12953
640	23061	12915
641	23094	12878
642	23129	12841
643	23166	12806
644	23199	12768
645	23231	12730
646	23264	12692
647	23296	12654
648	23328	12617
649	23361	12579
650	23392	12540
651	23425	12503
652	23455	12464
653	23488	12426
654	23520	12388
655	23551	12350
656	23583	12312
657	23616	12274
658	23648	12236
659	23680	12198
660	23712	12161
661	23744	12123
662	23777	12086
663	23810	12048
664	23842	12010
665	23873	11972
666	23906	11935
667	23938	11897
668	23970	11860
669	24006	11824
670	24038	11786
671	24071	11749
672	24103	11711
673	24136	11674
674	24168	11636
675	24200	11599
676	24231	11561
677	24263	11523
678	24297	11486
679	24329	11449
680	24361	11411
681	24393	11374
682	24426	11337
683	24459	11299
684	24490	11262
685	24522	11224
686	24564	11191
687	24596	11154
688	24629	11117
689	24660	11079
690	24694	11042
691	24725	11005
692	24757	10967
693	24789	10930
694	24822	10893
695	24854	10856
696	24886	10818
697	24921	10782
698	24953	10745
699	24985	10707
700	25017	10670
701	25049	10633
702	25081	10596
703	25112	10558
704	25145	10521
705	25179	10485
